hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,cbd_congestion_fee
HV0003,B03404,B03404,2025-03-03 08:50:50,2025-03-03 08:51:10,2025-03-03 08:53:11,2025-03-03 09:04:35,161,162,0.57,685,14.97,0.0,0.34,1.33,2.75,0.0,0.0,7.7,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-30 10:01:05,2025-03-30 10:04:45,2025-03-30 10:05:02,2025-03-30 10:17:03,61,37,2.14,721,25.07,0.0,0.62,2.23,0.0,0.0,0.0,14.55,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-15 08:10:41,2025-03-15 08:14:21,2025-03-15 08:16:22,2025-03-15 08:20:29,200,220,0.92,247,9.59,0.0,0.24,0.85,0.0,0.0,0.0,6.0,N,N,N,N,Y,0.0
HV0003,B03404,B03404,2025-03-01 05:42:30,2025-03-01 05:55:15,2025-03-01 05:56:45,2025-03-01 06:38:43,249,177,7.57,2518,40.87,0.0,1.01,3.73,2.75,0.0,0.0,40.38,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-09 01:51:57,2025-03-09 01:54:59,2025-03-09 01:57:01,2025-03-09 03:15:13,157,61,3.77,1092,27.29,0.0,0.69,2.42,0.0,0.0,0.0,16.35,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-07 22:17:01,2025-03-07 22:20:08,2025-03-07 22:20:22,2025-03-07 22:59:16,100,51,14.79,2334,33.79,0.0,0.84,3.06,2.75,0.0,0.0,44.45,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-08 21:02:37,2025-03-08 21:04:49,2025-03-08 21:06:50,2025-03-08 21:15:15,174,78,3.19,505,13.34,0.0,0.33,1.19,0.0,0.0,0.0,9.6,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-25 13:27:59,2025-03-25 13:29:52,2025-03-25 13:30:21,2025-03-25 13:39:12,97,217,1.43,531,16.1,0.0,0.4,1.42,0.0,0.0,0.0,8.09,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-05 14:58:20,2025-03-05 14:58:49,2025-03-05 14:59:31,2025-03-05 15:26:30,112,237,4.44,1620,33.95,0.0,0.91,3.19,2.75,0.0,6.44,22.61,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-08 18:08:20,2025-03-08 18:08:39,2025-03-08 18:08:39,2025-03-08 19:10:01,132,265,37.75,3682,89.63,8.69,2.26,8.94,0.0,2.5,0.0,96.71,N,N,N,N,N,0.0
